0.89	 0.08	 0.91	 0.91	 0.99 (61)	 0.61 (42)	 0.9690765142440796	 0.7741667628288269
1.66	 1.47	 1.32	 1.38	 8.88 (14)	 0.05 (15)	 3.5084574222564697	 0.41656267642974854
2.64	 2.04	 2.09	 2.23	 10.38 (44)	 0.09 (51)	 5.475716590881348	 0.8063228726387024
2.37	 1.43	 2.09	 2.12	 7.96 (14)	 0.66 (43)	 4.190662384033203	 1.1018650531768799

0.87	 0.09	 0.90	 0.89	 0.98 (37)	 0.61 (21)	 0.9670373201370239	 0.7381802201271057
2.38	 1.71	 1.99	 2.09	 8.88 (5)	 0.12 (9)	 4.59147310256958	 0.8613571524620056
2.93	 2.20	 2.25	 2.46	 10.38 (22)	 0.44 (21)	 6.006611347198486	 0.9933732151985168
2.88	 1.53	 2.38	 2.46	 7.96 (5)	 1.03 (26)	 4.924349308013916	 1.5383142232894897

0.91	 0.06	 0.92	 0.92	 0.99 (30)	 0.74 (0)	 0.970243513584137	 0.8308262228965759
0.93	 0.58	 0.83	 0.86	 2.46 (26)	 0.04 (9)	 1.7378463745117188	 0.3329583406448364
2.35	 1.83	 2.05	 2.18	 9.58 (32)	 0.09 (24)	 4.897808074951172	 0.6513543725013733
1.85	 1.10	 1.71	 1.72	 7.59 (32)	 0.66 (21)	 3.1341159343719482	 0.879006564617157
